id;lat;lng;gap_real_m;barrier_level;municipality
1;3,76765E+15;-1,70076E+16;345;1;Lorca
2;3,76787E+15;-1,69742E+16;443;1;Lorca
3;3,76742E+15;-1,69958E+16;475;1;Lorca
4;3,76675E+15;-1,70341E+16;523;1;Lorca
5;3,76741E+15;-1,70005E+16;592;1;Lorca
6;3,76777E+16;-1,69927E+16;769;1;Lorca
7;3,76751E+16;-1,69881E+16;817;1;Lorca
8;3,76744E+15;-1,69781E+15;852;1;Lorca
9;3,76755E+15;-1,70012E+16;901;1;Lorca
10;3,76776E+15;-1,69736E+15;964;1;Lorca
11;3,76749E+15;-1,69855E+16;1133;1;Lorca
12;3,76758E+15;-1,69991E+16;114;1;Lorca
13;3,76764E+15;-1,6965E+15;1201;1;Lorca
14;3,76739E+15;-1,69893E+16;1365;1;Lorca
15;3,76783E+16;-1,69728E+16;1423;1;Lorca
16;3,7675E+15;-1,69927E+16;1436;1;Lorca
17;3,76749E+15;-1,69924E+16;1474;1;Lorca
18;3,76822E+15;-1,69084E+16;1487;1;Lorca
19;3,76775E+15;-1,69923E+14;1527;1;Lorca
20;3,76775E+15;-1,69875E+16;1562;1;Lorca
21;3,76716E+14;-1,69767E+16;1578;1;Lorca
22;3,76749E+15;-1,69878E+16;1591;1;Lorca
23;3,76702E+15;-1,68288E+16;1695;1;Lorca
24;3,76764E+15;-1,69774E+16;1735;1;Lorca
25;3,76776E+15;-1,69806E+16;1781;1;Lorca
26;3,7677E+16;-1,69915E+16;1886;1;Lorca
27;3,7675E+15;-1,69916E+16;1913;1;Lorca
28;3,76732E+15;-1,70161E+16;1981;1;Lorca
29;3,76823E+15;-1,69518E+16;2058;2;Lorca
30;3,76764E+15;-1,70052E+16;2235;2;Lorca
31;3,7678E+15;-1,69787E+16;2267;2;Lorca
32;3,76767E+15;-1,69885E+16;2307;2;Lorca
33;3,76789E+15;-1,6981E+16;233;2;Lorca
34;3,76772E+15;-1,69719E+16;2353;2;Lorca
35;3,76759E+16;-1,70015E+15;2354;2;Lorca
36;3,76761E+15;-1,70005E+16;2386;2;Lorca
37;3,76828E+16;-1,68959E+16;246;2;Lorca
38;3,76823E+16;-1,69194E+16;2694;2;Lorca
39;3,76731E+15;-1,69761E+16;2736;2;Lorca
40;3,76821E+15;-1,69549E+16;2796;2;Lorca
41;3,76823E+15;-1,691E+16;2809;2;Lorca
42;3,76669E+14;-1,70353E+16;296;2;Lorca
43;3,76784E+15;-1,69885E+16;2966;2;Lorca
44;3,76665E+15;-1,70426E+16;3032;2;Lorca
45;3,76769E+15;-1,69795E+15;324;2;Lorca
46;3,76732E+15;-1,69936E+16;3241;2;Lorca
47;3,76812E+16;-1,69583E+16;329;2;Lorca
48;3,7672E+16;-1,70134E+16;3344;2;Lorca
49;3,76828E+15;-1,69341E+16;3517;3;Lorca
50;3,76784E+16;-1,69846E+16;3524;3;Lorca
51;3,76732E+15;-1,69774E+16;3559;3;Lorca
52;3,7682E+16;-1,69035E+16;3575;3;Lorca
53;3,76688E+14;-1,70161E+16;3592;3;Lorca
54;3,76821E+15;-1,68999E+15;3617;3;Lorca
55;3,7673E+16;-1,69807E+16;3624;3;Lorca
56;3,76763E+16;-1,70006E+16;3697;3;Lorca
57;3,76823E+16;-1,69246E+15;3716;3;Lorca
58;3,76743E+15;-1,6977E+16;3791;3;Lorca
59;3,76748E+16;-1,70067E+16;3884;3;Lorca
60;3,76809E+15;-1,69454E+16;3904;3;Lorca
61;3,76821E+16;-1,6961E+16;3922;3;Lorca
62;3,76816E+16;-1,6908E+16;3946;3;Lorca
63;3,76672E+15;-1,70342E+15;4001;3;Lorca
64;3,76819E+15;-1,69288E+15;4031;3;Lorca
65;3,76681E+15;-1,70115E+16;4112;3;Lorca
66;3,76769E+15;-1,69866E+16;4142;3;Lorca
67;3,76808E+15;-1,69437E+16;4276;3;Lorca
68;3,76813E+16;-1,69609E+15;4328;3;Lorca
69;3,76666E+15;-1,69999E+16;4369;3;Lorca
70;3,76818E+16;-1,69764E+16;4441;3;Lorca
71;3,76766E+15;-1,69503E+16;4545;3;Lorca
72;3,76671E+15;-1,70305E+16;461;3;Lorca
73;3,76781E+15;-1,69466E+16;4771;3;Lorca
74;3,76761E+15;-1,69474E+15;4777;3;Lorca
75;3,76821E+16;-1,68964E+16;4799;3;Lorca
76;3,76736E+16;-1,70019E+14;483;3;Lorca
77;3,76738E+15;-1,69749E+15;4837;3;Lorca
78;3,76754E+16;-1,69496E+15;4855;3;Lorca
79;3,76668E+16;-1,70353E+16;4945;3;Lorca
80;3,76752E+15;-1,69829E+16;4961;3;Lorca
81;3,76782E+16;-1,69448E+16;4978;3;Lorca
82;3,76817E+14;-1,6911E+15;4996;3;Lorca
83;3,76815E+15;-1,6925E+16;5007;4;Lorca
84;3,76776E+15;-1,69574E+15;5033;4;Lorca
85;3,76754E+14;-1,69999E+16;5051;4;Lorca
86;3,76816E+15;-1,69426E+16;5078;4;Lorca
87;3,76741E+14;-1,69921E+16;5094;4;Lorca
88;3,76749E+15;-1,69529E+16;5161;4;Lorca
89;3,76817E+15;-1,69182E+15;5175;4;Lorca
90;3,76731E+15;-1,69975E+16;5218;4;Lorca
91;3,76771E+14;-1,69985E+16;5231;4;Lorca
92;3,76816E+14;-1,69536E+15;5233;4;Lorca
93;3,76719E+15;-1,69773E+16;5251;4;Lorca
94;3,76659E+16;-1,70485E+16;5336;4;Lorca
95;3,76715E+15;-1,69998E+16;5404;4;Lorca
96;3,76681E+15;-1,70181E+15;5426;4;Lorca
97;3,76679E+15;-1,68663E+16;5704;4;Lorca
98;3,76772E+16;-1,69708E+16;5726;4;Lorca
99;3,76845E+15;-1,69929E+16;5779;4;Lorca
100;3,76768E+15;-1,7006E+16;578;4;Lorca
101;3,76805E+15;-1,68978E+16;5784;4;Lorca
102;3,76692E+14;-1,70054E+16;5798;4;Lorca
103;3,76689E+16;-1,7028E+16;5816;4;Lorca
104;3,76763E+16;-1,69761E+16;5832;4;Lorca
105;3,76789E+15;-1,69777E+16;5856;4;Lorca
106;3,76721E+16;-1,69866E+16;5987;4;Lorca
